Provincia,Departamento,Jardines,Poblacion Jardines,Primarias,Poblacion Primaria,Secundarias,Poblacion Secundaria
Buenos Aires,LA MATANZA,333,157034,335,1837168,336,1837168
Buenos Aires,LA PLATA,234,52075,201,756074,211,756074
Buenos Aires,LOMAS DE ZAMORA,170,50825,179,685644,191,685644
Buenos Aires,GENERAL PUEYRREDON,178,41427,168,660569,173,660569
Buenos Aires,QUILMES,160,47353,145,631774,151,631774
Buenos Aires,MORENO,120,50791,138,575758,134,575758
Buenos Aires,ALMIRANTE BROWN,140,43762,137,583209,146,583209
Buenos Aires,MERLO,108,48007,120,581484,125,581484
Buenos Aires,LANUS,118,28133,117,460081,113,460081
Buenos Aires,PILAR,108,34493,112,393614,105,393614
Buenos Aires,TIGRE,123,32611,111,446291,107,446291
Buenos Aires,GENERAL SAN MARTIN,98,28038,98,444503,96,444503
Buenos Aires,FLORENCIO VARELA,99,44663,98,488103,102,488103
Buenos Aires,BAHIA BLANCA,97,22621,95,334505,81,334505
Buenos Aires,BERAZATEGUI,100,25806,94,358328,97,358328
Buenos Aires,SAN MIGUEL,86,24752,91,327650,97,327650
Buenos Aires,AVELLANEDA,118,22784,91,366117,76,366117
Buenos Aires,MORON,99,18044,91,329517,86,329517
Buenos Aires,SAN ISIDRO,96,17057,89,295978,88,295978
Buenos Aires,TRES DE FEBRERO,104,21166,87,362319,83,362319
Buenos Aires,MALVINAS ARGENTINAS,76,25943,81,349401,87,349401
Buenos Aires,ESCOBAR,81,21900,79,256071,78,256071
Buenos Aires,VICENTE LOPEZ,105,14893,75,280541,69,280541
Buenos Aires,OLAVARRIA,61,8554,74,122011,41,122011
Buenos Aires,ESTEBAN ECHEVERRIA,71,27670,71,337880,72,337880
Buenos Aires,JOSE C. PAZ,54,29597,63,326527,61,326527
Buenos Aires,TANDIL,63,9785,62,144678,41,144678
Buenos Aires,SAN NICOLAS,50,12727,57,166657,51,166657
Buenos Aires,PERGAMINO,54,8676,56,114988,39,114988
Buenos Aires,SAN FERNANDO,64,11498,55,171099,47,171099
Buenos Aires,AZUL,39,5390,54,75152,27,75152
Buenos Aires,NECOCHEA,44,6914,50,101483,35,101483
Buenos Aires,CHIVILCOY,34,4906,49,70554,22,70554
Buenos Aires,LUJAN,52,8352,49,110111,38,110111
Buenos Aires,25 DE MAYO,40,2706,47,35411,17,35411
Buenos Aires,TRENQUE LAUQUEN,41,4016,47,49128,17,49128
Buenos Aires,HURLINGHAM,47,11620,46,185361,50,185361
Buenos Aires,EZEIZA,53,17155,46,198620,45,198620
Buenos Aires,JUNIN,42,7543,46,100964,35,100964
Buenos Aires,ITUZAINGO,49,10707,45,177983,47,177983
Buenos Aires,ZARATE,45,9976,45,131415,37,131415
