Provincia,Departamento,Cantidad de BP fundadas desde 1950
Buenos Aires,LA MATANZA,15
Buenos Aires,LA PLATA,15
Buenos Aires,MORENO,13
Buenos Aires,BAHIA BLANCA,12
Buenos Aires,TIGRE,12
Buenos Aires,ALMIRANTE BROWN,10
Buenos Aires,GENERAL SAN MARTIN,10
Buenos Aires,LOMAS DE ZAMORA,10
Buenos Aires,TANDIL,10
Buenos Aires,AVELLANEDA,9
Buenos Aires,FLORENCIO VARELA,9
Buenos Aires,OLAVARRIA,8
Buenos Aires,QUILMES,8
Buenos Aires,LANUS,7
Buenos Aires,LA COSTA,6
Buenos Aires,TRES ARROYOS,6
Buenos Aires,BERAZATEGUI,5
Buenos Aires,GENERAL PUEYRREDON,5
Buenos Aires,GUAMINI,5
Buenos Aires,MALVINAS ARGENTINAS,5
Buenos Aires,PILAR,5
Buenos Aires,SAN FERNANDO,5
Buenos Aires,SAN ISIDRO,5
Buenos Aires,VICENTE LOPEZ,5
Buenos Aires,GENERAL VILLEGAS,4
Buenos Aires,MERLO,4
Buenos Aires,RAMALLO,4
Buenos Aires,VILLARINO,3
Buenos Aires,CARLOS CASARES,3
Buenos Aires,CORONEL DE MARINA L ROSALES,3
Buenos Aires,GENERAL PINTO,3
Buenos Aires,LINCOLN,3
Buenos Aires,NECOCHEA,3
Buenos Aires,SAN MIGUEL,3
Buenos Aires,TORNQUIST,3
Buenos Aires,BERISSO,2
Buenos Aires,BRAGADO,2
Buenos Aires,BRANDSEN,2
Buenos Aires,CORONEL SUAREZ,2
Buenos Aires,ENSENADA,2
Buenos Aires,ESTEBAN ECHEVERRIA,2
Buenos Aires,EZEIZA,2
Buenos Aires,GENERAL ALVARADO,2
Buenos Aires,HURLINGHAM,2
Buenos Aires,LEANDRO N. ALEM,2
Buenos Aires,LUJAN,2
Buenos Aires,MONTE,2
Buenos Aires,MORON,2
Buenos Aires,PEHUAJO,2
Buenos Aires,PINAMAR,2
Buenos Aires,PUAN,2
Buenos Aires,VILLA GESELL,2
Buenos Aires,SAN ANTONIO DE ARECO,2
Buenos Aires,TRES DE FEBRERO,2
Buenos Aires,RAUCH,1
Buenos Aires,BARADERO,1
Buenos Aires,BOLIVAR,1
Buenos Aires,CAMPANA,1
Buenos Aires,CAÑUELAS,1
Buenos Aires,CORONEL DORREGO,1
Buenos Aires,GENERAL GUIDO,1
Buenos Aires,GENERAL LAVALLE,1
Buenos Aires,GENERAL VIAMONTE,1
Buenos Aires,ITUZAINGO,1
Buenos Aires,JUNIN,1
Buenos Aires,LOBERIA,1
Buenos Aires,LOBOS,1
Buenos Aires,MAGDALENA,1
Buenos Aires,MAIPU,1
Buenos Aires,MAR CHIQUITA,1
Buenos Aires,MONTE HERMOSO,1
Buenos Aires,NAVARRO,1
Buenos Aires,9 DE JULIO,1
Buenos Aires,RIVADAVIA,1
Buenos Aires,SALADILLO,1
Buenos Aires,SALTO,1
Buenos Aires,SAN ANDRES DE GILES,1
Buenos Aires,SAN CAYETANO,1
Buenos Aires,SAN NICOLAS,1
Buenos Aires,TAPALQUE,1
Buenos Aires,TORDILLO,1
Buenos Aires,GENERAL ARENALES,1
Catamarca,FRAY MAMERTO ESQUIU,4
Catamarca,VALLE VIEJO,4
Catamarca,BELEN,3
Catamarca,CAPAYAN,3
Catamarca,CAPITAL,3
Catamarca,SANTA ROSA,3
Catamarca,LA PAZ,2
Catamarca,POMAN,2
Catamarca,EL ALTO,1
Catamarca,AMBATO,1
Catamarca,PACLIN,1
Chaco,SAN FERNANDO,26
Chaco,LIBERTADOR GENERAL SAN MARTIN,5
Chaco,BERMEJO,3
Chaco,SARGENTO CABRAL,3
Chaco,QUITILIPI,3
Chaco,9 DE JULIO,3
Chaco,MAYOR LUIS J FONTANA,3
Chaco,CHACABUCO,3
Chaco,COMANDANTE FERNANDEZ,2
Chaco,GENERAL DONOVAN,2
Chaco,25 DE MAYO,1
Chaco,PRESIDENCIA DE LA PLAZA,1
Chaco,O HIGGINS,1
Chaco,GENERAL GUEMES,1
Chaco,GENERAL BELGRANO,1
