Provincia,Departamento,Cant_EE,Cant_BP,Poblacion
Ciudad de Buenos Aires,CIUDAD AUTÓNOMA DE BUENOS AIRES,2286,43,8838708
Córdoba,CAPITAL,1151,20,4212203
Buenos Aires,LA MATANZA,1004,16,5104420
Santa Fe,ROSARIO,958,39,3765639
Buenos Aires,LA PLATA,646,33,2122898
Entre Ríos,PARANA,601,11,1091165
Buenos Aires,LOMAS DE ZAMORA,540,12,1914708
Buenos Aires,GENERAL PUEYRREDON,519,6,1861412
Santa Fe,LA CAPITAL,503,23,1593281
Salta,CAPITAL,469,27,1740710
Tucumán,CAPITAL,468,10,1650927
Buenos Aires,QUILMES,456,9,1764356
Buenos Aires,ALMIRANTE BROWN,423,11,1623487
Río Negro,GENERAL ROCA,421,29,1059941
Córdoba,SAN JUSTO,416,20,641211
Chaco,SAN FERNANDO,411,31,1158987
Neuquén,CONFLUENCIA,398,40,1306977
Chaco,GENERAL GUEMES,393,1,188236
Buenos Aires,MORENO,392,16,1590558
Córdoba,RIO CUARTO,372,16,780843
Misiones,CAPITAL,362,7,1089338
Buenos Aires,MERLO,353,4,1613193
Santiago del Estero,CAPITAL,350,26,918864
Buenos Aires,LANUS,348,13,1295882
Santa Fe,GENERAL OBLIGADO,343,14,551107
Mendoza,SAN RAFAEL,342,14,594898
Buenos Aires,TIGRE,341,13,1241511
Buenos Aires,PILAR,325,6,1089370
Misiones,GUARANI,315,2,210956
San Luis,GENERAL JUAN MARTIN DE PUEYRREDON,311,10,726331
Santa Fe,CASTELLANOS,308,21,530362
Formosa,PATIÑO,307,2,224460
Corrientes,CAPITAL,304,15,1223771
Buenos Aires,FLORENCIO VARELA,299,10,1347428
Buenos Aires,GENERAL SAN MARTIN,292,14,1249336
Buenos Aires,BERAZATEGUI,291,6,998055
Santiago del Estero,BANDA,290,13,472493
Buenos Aires,AVELLANEDA,285,15,1028793
Misiones,OBERA,276,3,333429
Buenos Aires,MORON,276,2,933187
Buenos Aires,TRES DE FEBRERO,274,9,1023171
Buenos Aires,SAN MIGUEL,274,4,915262
Buenos Aires,BAHIA BLANCA,273,15,940825
Buenos Aires,SAN ISIDRO,273,7,836559
Córdoba,COLON,268,11,819101
Santa Fe,SAN CRISTOBAL,266,11,202515
Formosa,FORMOSA,264,8,748571
Entre Ríos,GUALEGUAYCHU,263,8,350100
Jujuy,DOCTOR MANUEL BELGRANO,263,7,892263
Santa Fe,GENERAL LOPEZ,259,21,563076
Salta,GENERAL JOSE DE SAN MARTIN,258,5,486018
Entre Ríos,CONCORDIA,251,5,548139
Buenos Aires,VICENTE LOPEZ,249,6,797701
Santa Fe,LAS COLONIAS,247,18,322261
Mendoza,GUAYMALLEN,245,5,895819
Buenos Aires,MALVINAS ARGENTINAS,244,5,972925
Misiones,CAINGUAS,244,3,164097
Buenos Aires,ESCOBAR,238,2,710516
Entre Ríos,URUGUAY,233,6,323016
Formosa,PIRANE,233,3,200323
Córdoba,UNION,220,7,318556
La Rioja,CAPITAL,218,6,587695
Tucumán,CRUZ ALTA,217,4,629807
Buenos Aires,ESTEBAN ECHEVERRIA,214,3,938287
Salta,RIVADAVIA,214,1,102830
Córdoba,PUNILLA,213,12,615541
Entre Ríos,LA PAZ,212,3,209209
Corrientes,GOYA,210,3,294920
Santa Fe,VERA,209,8,154307
Misiones,GENERAL MANUEL BELGRANO,200,2,124281
Entre Ríos,VILLAGUAY,198,3,154149
Mendoza,CAPITAL,196,3,350188
Río Negro,BARILOCHE,194,9,453129
San Luis,GENERAL PEDERNERA,192,10,413450
Misiones,IGUAZU,190,3,274295
Córdoba,GENERAL SAN MARTIN,189,8,426773
Misiones,SAN IGNACIO,189,2,174196
Mendoza,MAIPU,188,3,608691
Chaco,LIBERTADOR GENERAL SAN MARTIN,186,6,180603
Entre Ríos,NOGOYA,185,4,120170
Mendoza,GODOY CRUZ,185,3,547132
Tucumán,LEALES,185,3,184448
Córdoba,MARCOS JUAREZ,183,11,302131
Chubut,ESCALANTE,182,7,599025
Córdoba,RIO SEGUNDO,178,7,317455
Santiago del Estero,RIO HONDO,178,4,184486
Buenos Aires,JOSE C. PAZ,178,0,903251
Buenos Aires,OLAVARRIA,176,11,341452
Formosa,PILCOMAYO,176,8,261012
Córdoba,SANTA MARIA,175,8,387061
Córdoba,CRUZ DEL EJE,174,1,180296
Entre Ríos,FEDERACION,171,4,218104
San Juan,CAPITAL,170,16,324680
Córdoba,TERCERO ARRIBA,170,6,337346
Mendoza,SAN MARTIN,169,4,387699
Mendoza,LAS HERAS,167,6,648840
Buenos Aires,TANDIL,166,14,406427
Buenos Aires,SAN FERNANDO,166,7,479936
Misiones,LEANDRO N. ALEM,165,1,137212
Córdoba,RIO PRIMERO,164,3,162242
Salta,ORAN,163,4,438352
Misiones,SAN PEDRO,160,1,94182
Chubut,RAWSON,158,14,404192
Buenos Aires,SAN NICOLAS,158,2,466901
Santiago del Estero,PELLEGRINI,156,0,72008
Misiones,ELDORADO,155,1,251664
Córdoba,CALAMUCHITA,154,6,210808
Misiones,LIBERTADOR GRL SAN MARTIN,153,2,144046
Santa Fe,SAN LORENZO,152,7,540819
Chaco,COMANDANTE FERNANDEZ,152,2,280360
Tucumán,BURRUYACU,152,0,125401
Buenos Aires,PERGAMINO,149,4,322311
Santiago del Estero,FIGUEROA,146,0,55464
Tucumán,TAFI VIEJO,145,4,479058
Mendoza,LUJAN DE CUYO,144,6,477364
Buenos Aires,EZEIZA,144,2,549156
Santa Fe,9 DE JULIO,143,3,85905
Buenos Aires,HURLINGHAM,143,2,520466
Misiones,25 DE MAYO,143,2,85057
Santa Fe,SAN JERONIMO,142,8,237150
Catamarca,CAPITAL,142,4,521722
Buenos Aires,ITUZAINGO,141,1,500253
Buenos Aires,LUJAN,139,5,307604
La Pampa,CAPITAL,137,8,331683
Santiago del Estero,MORENO,137,0,110243
Entre Ríos,DIAMANTE,133,3,147316
Tucumán,SIMOCA,132,0,102820
Santiago del Estero,COPO,131,2,97626
Entre Ríos,COLON,130,6,209767
Salta,ANTA,130,5,191296
Buenos Aires,NECOCHEA,129,5,284557
Catamarca,BELEN,129,5,84196
Buenos Aires,ZARATE,127,1,365514
Formosa,BERMEJO,127,0,42565
Santiago del Estero,LORETO,126,1,66529
Entre Ríos,GUALEGUAY,125,2,158742
Mendoza,LAVALLE,124,3,129565
Buenos Aires,CAMPANA,124,1,300495
Entre Ríos,VICTORIA,124,0,113015
Buenos Aires,JUNIN,123,8,283731
Santa Cruz,GUER AIKE,122,8,381804
Santa Fe,SAN MARTIN,121,12,188892
Córdoba,JUAREZ CELMAN,121,3,191152
Jujuy,EL CARMEN,120,4,338202
Buenos Aires,AZUL,120,3,210171
Córdoba,SAN ALBERTO,120,2,117463
Córdoba,SAN JAVIER,119,5,175219
Entre Ríos,FEDERAL,119,2,82197
Santiago del Estero,CHOYA,117,2,121280
Corrientes,ESQUINA,117,1,108439
Corrientes,SANTO TOME,116,2,198587
Tucumán,CHICLIGASTA,116,1,257228
Santa Fe,CONSTITUCION,115,17,261129
Chaco,ALMIRANTE BROWN,115,0,103689
Santa Fe,IRIONDO,114,12,206951
Santiago del Estero,ALBERDI,114,1,55089
