nro_conabip,id_departamento,mail,fecha_fundacion
11,70049,,1980-01-01
18,2000,asociacionroffo@yahoo.com.ar,1916-05-01
19,2000,popular12deoctubre@hotmail.com,1910-10-12
25,2000,bibliotecaobrerajuanbjusto@gmail.com,
28,2000,bibliotecapueyrredon@hotmail.com,1916-06-16
32,2000,bibliotecapopularalberdi@yahoo.com.ar,1910-07-08
62,2000,,1980-01-01
77,2000,,1918-03-14
78,2000,bibliotecajerodo@yahoo.com.ar,1917-03-25
83,6049,info@bibliotecaronco.com.ar,
87,6462,bibliotecapopular@live.com.ar,1916-08-20
88,6007,,1912-08-23
90,6028,,1918-08-01
93,6105,bib_rivadavia@yahoo.com.ar,1911-12-15
98,6658,,1980-01-01
100,6056,abrbp@abrbp.org.ar,
101,6203,bibliotecasarmiento_2000@yahoo.com.ar,1915-01-31
105,6224,bibliotecanovaro@hotmail.com,
111,6049,,1918-05-26
113,6217,bpsarmiento113@yahoo.com.ar,
115,6840,bpalberdi@yahoo.com.ar,1914-04-03
118,6238,,1945-10-27
122,6483,,1920-12-27
123,6274,bibliotecasarmiento_varela@yahoo.com.ar,1920-07-04
125,6760,bibliotecadfs@hotmail.com,1913-06-13
126,6351,,1913-06-13
131,6287,bibliofbalcarce@yahoo.com.ar,1915-04-29
135,6595,,1980-01-01
139,6413,,1909-05-27
150,6434,,1917-09-07
165,6441,bibliotecaalborada@yahoo.com,1918-05-02
167,6245,,1917-07-22
168,6497,salonesbibliotecaameghino@gmail.com,1914-11-27
173,6490,bibliotecamentruytespectaculos@gmail.com,1900-05-02
174,6329,,1914-12-02
175,6483,ccplbsarmiento@yahoo.com.ar,1912-03-16
177,6469,bibliotecasarmientocoop@hotmail.com.ar,
192,6756,,1913-07-28
194,6532,biblsarmiento_mercedes@hotmail.com,
195,6574,biberenchu@copesnet.com.ar,1907-04-14
197,6581,,1980-01-01
200,6588,,1980-01-01
201,6595,bibliotecaferroviaria@hotmail.com,1904-06-20
202,6595,,1909-07-25
210,6700,bib.sarmiento.pigue@gmail.com,1914-01-03
213,6623,bibliotecamenendez@yahoo.com.ar,1900-10-19
215,6609,bibrivadavia@gmail.com,1910-06-11
217,6035,,1921-10-28
221,6672,bibliotecapopulargsrauch@gmail.com,1920-03-20
222,6210,,1920-01-01
223,6756,,
226,6770,,
230,6735,rot14@hotmail.com,2006-11-06
231,6749,noticiasmadero@gmail.com,
232,6728,,1980-01-01
233,6714,,1901-09-14
236,6700,biblioteca_jbalberdi@yahoo.com.ar,1916-05-15
238,6791,bibliotecajbalberdi@yahoo.com.ar,1916-05-26
240,6791,bpbrtandil@hotmail.com,1908-06-21
244,6826,bibliotecarivadavia_tl@yahoo.com.ar,1903-05-17
249,6441,,1920-06-08
252,6035,punkyflores69@hotmail.com,1918-10-10
258,6154,sanjose@servicoopsa.com.ar,1920-09-26
259,6833,bibsarmiento@3net.com.ar,
262,6700,,1942-11-22
268,6154,bibliotejedor@yahoo.com.ar,1916-10-28
270,6161,bibliocada@yahoo.com.ar,1914-09-08
276,6308,,1980-01-01
279,6476,,1918-04-05
287,6371,bibliopopsanmartin2001@yahoo.com.ar,1914-10-04
294,6434,bibliotecasarmiento@yahoo.com.ar,1918-03-01
303,30098,bibliotecapopularelporvenir@yahoo.com.ar,
306,30008,bpfiatlux@gmail.com,
319,30015,man.1872@concordia.com.ar,
324,30021,gerebasso@yahoo.com.ar,
328,30113,,1924-10-12
330,30070,,1939-08-26
334,30021,biblioteca_ramirez@yahoo.com.ar,1980-01-01
338,30028,bibliotecapop.67@gmail.com,
340,30056,institutomagnasco@hotmail.com,
341,30056,bibliosarmiento@yahoo.com,
342,30049,bibpopmastronardi@yahoo.com.ar,
354,30077,,
355,30084,ComisionDirectiva@bibliotecaparana.org.ar,
364,30091,bibliotecatala@gmail.com,
370,30070,,1919-07-05
375,30056,,1912-05-09
381,30008,bpgmitre@yahoo.com.ar,1904-05-01
382,30035,bibliofederal@hotmail.com,1912-09-01
383,30113,bpmitre0383@gmail.com,
384,30113,,
385,30028,bibliotecapopularurquiza@multichajari.com.ar ,1909-07-18
387,30008,biburquiza@yahoo.com.ar,1904-04-24
392,30015,,1917-05-13
401,30091,bibliotecacarruego@gmail.com ,1920-06-20
411,82014,bibcasado@arnet.com.ar,1908-10-24
