Cueanexo,Nombre,id_departamento,Nivel inicial - Jardín maternal,Nivel inicial - Jardín de infantes,Primario,Secundario
20000100,INSTITUTO PRIVADO ESCUELA EVANGELICA WILLIAM C. MORRIS,2000,,,,1.0
20000102,INSTITUTO PRIVADO ESCUELA EVANGELICA WILLIAM C. MORRIS,2000,1.0,1.0,1.0,
20000200,CARLOS R. VIGNALE,2000,,,1.0,
20000300,INSTITUTO SAN CAYETANO,2000,1.0,1.0,,
20000301,INSTITUTO SAN CAYETANO,2000,,,1.0,
20000500,INSTITUTO NUESTRA SEÑORA DEL ROSARIO,2000,1.0,1.0,1.0,1.0
20000700,INSTITUTO NTRA SEÑORA DE LUJAN DE LOS PATRIOTAS,2000,1.0,1.0,1.0,1.0
20000800,DR MARTINIANO LEGUIZAMON,2000,,,1.0,
20000900,BENITO QUINQUELA MARTIN,2000,,,1.0,
20001000,JOSE JACINTO BERRUTTI,2000,,,1.0,
20001100,REPUBLICA ITALIANA,2000,,,1.0,
20001200,JUAN MARIA GUTIERREZ,2000,,,1.0,
20001500,EUSTAQUIO CARDENAS,2000,,,,
20001700,ESCUELA DE LA ALDEA,2000,1.0,1.0,1.0,
20001800,FRAY JUSTO SANTA MARIA DE ORO,2000,,,1.0,
20001900,CENS Nº 59 DE 03,2000,,,,
20002000,CENS Nº 15 DE 06,2000,,,,
20002100,CENS Nº 44 DE 03,2000,,,,
20002200,REPUBLICA DE FILIPINAS,2000,,,1.0,
20002300,JUAN RAMON JIMENEZ,2000,,,1.0,
20002400,RECUERDOS DE PROVINCIA,2000,,,1.0,
20002500,CARLOS GUIDO Y SPANO,2000,,,1.0,
20002600,CENTRO DE ESTUDIOS INTERDISCPLINARIOS PARA EL APRENDIZAJE Y LA COMUNICACION,2000,,,,
20002700,JARDIN INFANTES A.B.C.,2000,,1.0,,
20002800,INSTITUTO BET-EL,2000,1.0,1.0,1.0,
20002900,INSTITUTO SAN PEDRO,2000,,1.0,1.0,
20003100,COLEGIO LAS CUMBRES,2000,1.0,1.0,1.0,1.0
20003300,INSTITUTO CONSTANZA RAMOS MEJIA DE BUNGE,2000,,1.0,1.0,
20003400,INST. COLEGIO SAN TARSICIO,2000,1.0,1.0,1.0,
20003600,VALENTIN GOMEZ,2000,,,,
20003700,JIN B HOMERO MANZI DE 19 (N°11),2000,1.0,1.0,,
20003800,MARIA SILVENTI DE AMATO,2000,,,1.0,
20003900,PROFESOR CARLOS JUSTO FLORIT,2000,,,1.0,
20004000,RICARDO GUIRALDES,2000,,,1.0,
20004100,PROVINCIA DE CORRIENTES,2000,,,1.0,
20004200,AERONAUTICA ARGENTINA,2000,,,1.0,
20004300,JUAN ANDRES DE LA PEÑA,2000,,,1.0,
20004400,JII Nº 01 DE 19,2000,,1.0,,
20004500,CENS Nº 63 DE 01,2000,,,,
20004600,REPUBLICA DE HONDURAS,2000,,,1.0,
20004700,INSTITUTO BAYARD,2000,1.0,1.0,1.0,
20004800,CABILDO DE BUENOS AIRES,2000,,,1.0,
20004900,INSTITUTO PARROQUIAL SANTA LUCIA,2000,,1.0,1.0,
20005000,DR. PEDRO MELITON LEDESMA,2000,,,1.0,
20005100,INGENIERO ALVAREZ CONDARCO,2000,,,1.0,
20005200,ESCUELA INTEGRAL INTERDISCIPLINARIA N° 14 DE 14,2000,,,,
20005300,PRESIDENTE DERQUI,2000,,,1.0,
20005400,INSTITUTO SAN JUAN MARIA VIANNEY,2000,1.0,1.0,1.0,
20005500,INSTITUTO INTEGRAL DEL SUD,2000,1.0,1.0,,
20005600,FRANCISCO DE GURRUCHAGA,2000,,,1.0,
20005700,ESCUELA INTEGRAL INTERDISCIPLINARIA Nº 06 DE 06,2000,,,,
20005800,COLEGIO SECUNDARIO STO TOMAS DE AQUINO,2000,,,,1.0
20005801,COLEGIO SECUNDARIO SANTO TOMAS DE AQUINO,2000,,,1.0,1.0
20006000,ESC. HOSPITALARIA Nº 02 DE 05,2000,,,,
20006100,CENS Nº 21 DE 14,2000,,,,
20006200,ESCUELA INTEGRAL INTERDISCIPLINARIA N° 05 DE 05,2000,,,,
20006300,GENERAL GUEMES,2000,,,1.0,
20006500,INST. HOGAR DEL PINO,2000,,1.0,1.0,
20007000,CENS Nº 66 VETERANOS DE GUERRA DE MALVINAS DE 16,2000,,,,
20007100,GRAL MARIANO NECOCHEA,2000,,,1.0,
20007200,INSTITUTO NUESTRA SEÑORA DE MONSERRAT,2000,,,1.0,
20007202,INSTITUTO NUESTRA SEÑORA DE MONSERRAT,2000,1.0,1.0,,
20007300,FRAY CAYETANO RODRIGUEZ,2000,,,1.0,
20007500,JIN D DE 18 (ESC. PRIM. N° 08 DE 18),2000,,1.0,,
20007501,JIN D DE 18 (ESC. PRIM. Nº 07 DE 18),2000,,1.0,,
20007502,JIN D DE 18 (ESC. PRIM. N° 10 DE 18),2000,,1.0,,
20007600,JIC Nº 03 DE 05,2000,,1.0,,
20007700,NIEVES ESCALADA DE OROMI,2000,,,1.0,
20007800,INSTITUTO PIO IX,2000,,,,1.0
20007900,COLEGIO Nº 13 CNEL.DE MARINA TOMAS ESPORA DE 18,2000,,,,1.0
20008000,ESCUELA INTEGRAL INTERDISCIPLINARIA N°18 DE 18,2000,,,,
20008200,INST MARIA BIANCHI DE COPELLO,2000,1.0,1.0,1.0,
20008300,COLEGIO SAGRADA FAMILIA,2000,1.0,1.0,1.0,1.0
20008400,JIC Nº 01 REPUBLICA ARGENTINA DE 18,2000,1.0,1.0,,
20008500,GENDARMERIA NACIONAL,2000,,,1.0,
20008600,CASIMIRO AURELIANO MACIEL,2000,,,1.0,
20008900,PRESBITERO ALBERTI,2000,,,1.0,
20009000,JOSE MARTI,2000,,,1.0,
20009100,COLEGIO PARR. NTRA SRA DE LA ANUNCIACION,2000,1.0,1.0,1.0,1.0
20009500,INSTITUTO DIVINO CORAZON,2000,1.0,1.0,1.0,1.0
20009600,ESCUELA INTEGRAL INTERDISCIPLINARIA N°01 DE 01,2000,,,,
20009700,JIC N° 04 DE 18,2000,1.0,1.0,,
20009800,INSTITUTO EDUCACIONAL DUAYEN,2000,1.0,1.0,,
20009801,INSTITUTO EDUCACIONAL DUAYEN,2000,,,1.0,1.0
20009900,INSTITUTO SAN VICENTE PALLOTTI,2000,1.0,1.0,1.0,
20010000,CENTRO EDUCATIVO SAN FRANCISCO JAVIER,2000,,1.0,1.0,1.0
20010200,INSTITUTO CANTO A LA VIDA,2000,,,,1.0
