id_departamento,Departamento,poblacion_Jardin,poblacion_Primaria,poblacion_Secundaria,poblacion_Adultos,poblacion_tot
2000,Ciudad de Buenos Aires,155314,3095454,3095454,2492486,8838708
6007,Adolfo Alsina,1292,17344,17344,12918,48898
6014,Adolfo Gonzales Chaves,950,12847,12847,9326,35970
6021,Alberti,904,12906,12906,9426,36142
6028,Almirante Brown,43762,583209,583209,413307,1623487
6035,Avellaneda,22784,366117,366117,273775,1028793
6042,Ayacucho,1699,21757,21757,15466,60679
6049,Azul,5390,75152,75152,54477,210171
6056,Bahía Blanca,22621,334505,334505,249194,940825
6063,Balcarce,3638,48516,48516,35540,136210
6070,Baradero,3225,39223,39223,27808,109479
6077,Arrecifes,2644,32077,32077,22930,89728
6084,Benito Juárez,1608,21185,21185,15285,59263
6091,Berazategui,25806,358328,358328,255593,998055
6098,Berisso,7704,100685,100685,71480,280554
6105,Bolívar,2830,37194,37194,27301,104519
6112,Bragado,3360,46227,46227,33857,129671
6119,Brandsen,2588,32350,32350,22255,89543
6126,Campana,8120,107976,107976,76423,300495
6134,Cañuelas,6225,70542,70542,47282,194591
6140,Capitán Sarmiento,1180,15882,15882,11548,44492
6147,Carlos Casares,1731,22905,22905,16573,64114
6154,Carlos Tejedor,1107,14007,14007,10077,39198
6161,Carmen de Areco,1443,17345,17345,12266,48399
6168,Castelli,760,9551,9551,6874,26736
6175,Colón,2014,27406,27406,19980,76806
6182,Coronel de Marina Leonardo Rosales,4705,65823,65823,47341,183692
6189,Coronel Dorrego,1131,15795,15795,11637,44358
6196,Coronel Pringles,1890,24110,24110,17263,67373
6203,Coronel Suárez,2881,41713,41713,30877,117184
6210,Chacabuco,3518,52409,52409,38736,147072
6218,Chascomús,3167,42191,42191,29825,117374
6224,Chivilcoy,4906,70554,70554,51988,198002
6231,Daireaux,1395,18328,18328,13119,51170
6238,Dolores,2569,31405,31405,22469,87848
6245,Ensenada,4917,63978,63978,44625,177498
6252,Escobar,21900,256071,256071,176474,710516
6260,Esteban Echeverría,27670,337880,337880,234857,938287
6266,Exaltación de la Cruz,3424,40036,40036,27832,111328
6270,Ezeiza,17155,198620,198620,134761,549156
6274,Florencio Varela,44663,488103,488103,326559,1347428
6277,Florentino Ameghino,876,10759,10759,7501,29895
6280,General Alvarado,3570,45307,45307,32661,126845
6287,General Alvear,758,10150,10150,7343,28401
6294,General Arenales,1212,16231,16231,12080,45754
6301,General Belgrano,1618,20674,20674,14891,57857
6308,General Guido,236,3157,3157,2279,8829
6315,General Juan Madariaga,1548,22566,22566,16006,62686
6322,General La Madrid,866,11535,11535,8426,32362
6329,General Las Heras,1466,17980,17980,12637,50063
6336,General Lavalle,419,4846,4846,3298,13409
6343,General Paz,1095,14141,14141,9951,39328
6351,General Pinto,1104,12842,12842,9242,36030
6357,General Pueyrredón,41427,660569,660569,498847,1861412
6364,General Rodríguez,14137,142315,142315,91510,390277
6371,General San Martín,28038,444503,444503,332292,1249336
6385,General Viamonte,1801,22530,22530,16152,63013
6392,General Villegas,2797,35055,35055,24824,97731
6399,Guaminí,822,11662,11662,8588,32734
6406,Hipólito Yrigoyen,789,10581,10581,7717,29668
6408,Hurlingham,11620,185361,185361,138124,520466
6410,Ituzaingó,10707,177983,177983,133580,500253
6412,José C. Paz,29597,326527,326527,220600,903251
6413,Junín,7543,100964,100964,74260,283731
6420,La Costa,7455,100400,100400,71509,279764
6427,La Matanza,157034,1837168,1837168,1273050,5104420
6434,Lanús,28133,460081,460081,347587,1295882
6441,La Plata,52075,756074,756074,558675,2122898
6448,Laprida,901,11496,11496,8077,31970
6455,Las Flores,1982,27136,27136,19840,76094
6462,Leandro N. Alem,1361,17153,17153,12254,47921
6466,Lezama,443,6170,6170,4518,17301
6469,Lincoln,3480,45191,45191,32957,126819
6476,Lobería,1302,18106,18106,13301,50815
6483,Lobos,3294,41418,41418,29421,115551
6490,Lomas de Zamora,50825,685644,685644,492595,1914708
6497,Luján,8352,110111,110111,79030,307604
6505,Magdalena,1935,22653,22653,15690,62931
6511,Maipú,861,11253,11253,8163,31530
6515,Malvinas Argentinas,25943,349401,349401,248180,972925
6518,Mar Chiquita,2519,32973,32973,23788,92253
6525,Marcos Paz,5973,64761,64761,43163,178658
6532,Mercedes,5457,71002,71002,50910,198371
6539,Merlo,48007,581484,581484,402218,1613193
6547,Monte,1922,24616,24616,17283,68437
6553,Monte Hermoso,596,8444,8444,6124,23608
6560,Moreno,50791,575758,575758,388251,1590558
6568,Morón,18044,329517,329517,256109,933187
6574,Navarro,1501,19888,19888,13964,55241
6581,Necochea,6914,101483,101483,74677,284557
6588,9 de Julio,3963,52366,52366,37574,146269
6595,Olavarría,8554,122011,122011,88876,341452
6602,Patagones,2857,37499,37499,27045,104900
6609,Pehuajó,3474,44594,44594,32009,124671
6616,Pellegrini,662,7112,7112,5009,19895
6623,Pergamino,8676,114988,114988,83659,322311
6630,Pila,408,4615,4615,3174,12812
6638,Pilar,34493,393614,393614,267649,1089370
6644,Pinamar,3043,39224,39224,27683,109174
6648,Presidente Perón,10170,101994,101994,65618,279776
6651,Puan,998,16391,16391,12702,46482
6655,Punta Indio,936,12161,12161,8794,34052
6658,Quilmes,47353,631774,631774,453455,1764356
6665,Ramallo,3451,39648,39648,27402,110149
6672,Rauch,1197,16491,16491,12014,46193
6679,Rivadavia,1734,19735,19735,13811,55015
6686,Rojas,1851,25619,25619,18682,71771
6693,Roque Pérez,1104,13901,13901,9909,38815
6700,Saavedra,1436,21407,21407,16063,60313
6707,Saladillo,2716,35423,35423,25583,99145
6714,Salto,3175,39257,39257,27883,109572
6721,Salliqueló,653,9344,9344,6882,26223
6728,San Andrés de Giles,2151,26399,26399,18634,73583
6735,San Antonio de Areco,2120,26695,26695,19133,74643
6742,San Cayetano,615,8918,8918,6691,25142
6749,San Fernando,11498,171099,171099,126240,479936
6756,San Isidro,17057,295978,295978,227546,836559
6760,San Miguel,24752,327650,327650,235210,915262
6763,San Nicolás,12727,166657,166657,120860,466901
6770,San Pedro,5781,68353,68353,47176,189663
6778,San Vicente,9859,97929,97929,63086,268803
6784,Suipacha,981,11736,11736,8170,32623
6791,Tandil,9785,144678,144678,107286,406427
6798,Tapalqué,873,10695,10695,7638,29901
6805,Tigre,32611,446291,446291,316318,1241511
6812,Tordillo,244,2528,2528,1755,7055
6819,Tornquist,997,14591,14591,10807,40986
6826,Trenque Lauquen,4016,49128,49128,35344,137616
6833,Tres Arroyos,4260,61889,61889,45845,173883
6840,Tres de Febrero,21166,362319,362319,277367,1023171
6847,Tres Lomas,682,9090,9090,6588,25450
6854,25 de Mayo,2706,35411,35411,25734,99262
6861,Vicente López,14893,280541,280541,221726,797701
6868,Villa Gesell,2583,37325,37325,26674,103907
6875,Villarino,2586,32552,32552,23001,90691
6882,Zárate,9976,131415,131415,92708,365514
10007,Ambato,374,5087,5087,3873,14421
10014,Ancasti,243,3282,3282,2383,9190
10021,Andalgalá,1535,19545,19545,13922,54547
10028,Antofagasta de la Sierra,142,1822,1822,1265,5051
10035,Belén,2482,30353,30353,21008,84196
10042,Capayán,1697,19471,19471,13487,54126
10049,Capital,14250,186466,186466,134540,521722
10056,El Alto,394,4375,4375,2979,12123
10063,Fray Mamerto Esquiú,1207,14624,14624,10369,40824
10070,La Paz,2352,26341,26341,17999,73033
10077,Paclín,317,4696,4696,3417,13126
10084,Pomán,988,12219,12219,8430,33856
10091,Santa María,2179,26822,26822,19026,74849
10098,Santa Rosa,1154,13317,13317,9326,37114
10105,Tinogasta,2024,25254,25254,17762,70294
10112,Valle Viejo,2667,33951,33951,24076,94645
14007,Calamuchita,5902,75462,75462,53982,210808
14014,Capital,105777,1498060,1498060,1110306,4212203
14021,Colón,24253,294511,294511,205826,819101
14028,Cruz del Eje,5650,64748,64748,45150,180296
14035,General Roca,2905,36064,36064,25993,101026
14042,General San Martín,12494,152397,152397,109485,426773
14049,Ischilín,3125,36023,36023,24880,100051
14056,Juárez Celman,5605,68317,68317,48913,191152
14063,Marcos Juárez,7791,107286,107286,79768,302131
14070,Minas,371,4855,4855,3531,13612
14077,Pocho,377,5070,5070,3750,14267
14084,Presidente Roque Sáenz Peña,2907,37551,37551,26988,104997
14091,Punilla,15214,219494,219494,161339,615541
14098,Río Cuarto,21670,277979,277979,203215,780843
14105,Río Primero,5303,58181,58181,40577,162242
14112,Río Seco,1324,15275,15275,10442,42316
14119,Río Segundo,8823,113311,113311,82010,317455
